id,original_text,original_sentiment,predicted_sentiment,Categorization
126,"The padding around the ankle is a bit thin for my liking; after an hour of basketball, my ankles felt a bit sore from the lack of support. I think these are better suited for casual walking than actual high-impact sports.",Neutral,Negative,0
130,"The color is fine, I suppose, but it's very ""standard."" It doesn't have that premium depth or ""pop"" that you see in the professional marketing videos. It just looks like any other grey sneaker you'd find at a discount store.",Neutral,Negative,0
135,"The design is okay, but the plastic overlays on the side look a bit cheap when you see them in person. They have a bit of a shiny, ""toy-like"" finish that wasn't really apparent in the professional studio shots.",Neutral,Negative,0
139,"The ""Forest Green"" is actually more of a ""Teal"" or ""Emerald."" It’s a beautiful color and I’ve decided to keep them, but if you are strictly looking for a dark olive or hunter green, you will be disappointed.",Neutral,Positive,0
145,"While the design is striking, the ""wings"" on the side of the shoe are purely aesthetic and actually make it a bit difficult to tighten the laces properly around the midfoot area.",Negative,Neutral,0
160,"The design is okay, but it feels a bit ""safe."" Nima used to be more experimental with their silhouettes, but this looks like a generic sneaker you could find at any big-box retailer.",Neutral,Negative,0
162,"The color is fine, but it seems to attract dirt like a magnet. I walked through a park once and the ""Arctic White"" is now a permanent shade of dingy grey that no amount of scrubbing can fix.",Neutral,Negative,0
175,"The $120 price tag is fair, but when you add in the $15 for shipping and the fact that I have to pay for my own return labels, the value proposition drops significantly.",Neutral,Negative,0
188,The price is a bit steep for a brand that is still relatively new in the performance space. I’d be more willing to pay this much for an established brand with a better track record for longevity.,Neutral,Negative,0
192,"These run at least a half-size larger than other Nima models I've owned in the past. If you're ordering online, definitely size down or you'll be swimming in them.",Negative,Neutral,0
218,"$160 for a shoe made of recycled materials seems a bit contradictory. I support the environment, but it feels like they are charging a ""green tax"" on top of an already high price.",Neutral,Negative,0
