id,Original Text,Original_Aspect,Predicted_Aspect,Original_sentiment,Predicted_Sentiment,Original_reason,Predicted_Reason,Aspect_Categorization,Sentiment_Categorization,Correctness_of_Response
101,"I’ve been a loyal Nima customer for years and always wear a size 9, but these sneakers are so tight around the midfoot that my feet went numb after just ten minutes of walking. I’ll have to send these back and try a half size up, though I'm worried the length will then be too long.",sizing,sizing,Negative,Negative,restrictive midfoot and sizing inconsistency,tight fit around midfoot causing numbness,1,1,3
102,The cushioning on these is actually quite remarkable; it feels like walking on a cloud thanks to the new foam technology they used in the midsole. I spent the whole day walking around the city and didn't feel any of the usual heel pain I get with other brands.,comfort,comfort,Positive,Positive,excellent foam cushioning for long walks,remarkable cushioning with new foam technology,1,1,3
103,"I was incredibly disappointed to see that after only three light runs on a paved track, the rubber on the outer sole is already starting to peel away from the foam. For a brand like Nima, I expected the build quality to last much longer than a single week of use.",durability,durability,Negative,Negative,premature sole delamination after light use,rubber sole peeling after light use,1,1,5
104,"The ""Electric Blue"" shown on the website looked like a deep, vibrant royal blue, but when the box arrived, the shoes were much more of a faded navy or greyish-blue. It’s not a bad color, but it’s definitely not the bold look I was promised in the marketing photos.",color,color,Negative,Negative,color saturation doesn't match online images,color mismatch between product and marketing photos,1,1,3
105,"The design of these sneakers is absolutely top-tier; they have a very sleek, futuristic silhouette that manages to look professional enough for my casual office days while still being sporty enough for the gym. I’ve already received several compliments from coworkers.",design,design,Positive,Positive,sleek and versatile futuristic silhouette,"sleek, futuristic design",1,1,3
106,"While the price is a bit higher than the previous model, I feel like the inclusion of the recycled ocean plastic materials justifies the cost for anyone who cares about sustainability and wants a high-performance shoe that is environmentally conscious.",price/value,price/value,Positive,Positive,justified price due to sustainable materials,inclusion of recycled ocean plastic materials justifies the cost,1,1,4
107,"I really wanted to love these, but the heel collar is unnecessarily stiff and high, which led to a massive blister on my Achilles tendon within the first mile. No amount of ""breaking them in"" seems to soften that rigid plastic piece at the back.",comfort,comfort,Negative,Negative,stiff heel collar causing blisters,stiff and high heel collar causing blister,1,1,4
108,"I ordered my usual 10.5, but there is so much extra room in the toe box that my foot slides forward every time I stop moving. It feels like these were mislabeled at the factory or the new mold they are using is just significantly larger than their standard fit.",sizing,sizing,Negative,Negative,oversized toe box causing foot slippage,extra room in the toe box causing foot to slide forward,1,1,5
109,"After about a month of regular wear, I noticed the stitching along the side logo is starting to fray and unravel. It doesn't affect the performance of the shoe yet, but it makes a brand-new pair of expensive sneakers look old and poorly made.",durability,durability,Negative,Negative,frayed stitching on the logo after one month,stitching fraying and unraveling after a month,1,1,4
110,"The breathability of the mesh upper is fantastic for summer weather; I usually struggle with my feet overheating during afternoon runs, but the airflow in these is consistent and kept me feeling cool even in 90-degree heat.",comfort,comfort,Positive,Positive,superior breathability and airflow in mesh,breathability of mesh upper,1,1,3
111,"I find the design to be a bit too ""bulky"" and ""chunkier"" than the photos suggested. On the feet, they look a bit like orthopedic shoes rather than the high-fashion trainers I thought I was purchasing based on the Instagram ads.",design,design,Negative,Negative,bulky aesthetic resembles orthopedic shoes,bulky and chunky design unlike photos,1,1,2
112,"The grip on the bottom is subpar; I tried wearing these on a slightly damp sidewalk and I was slipping all over the place. For a shoe marketed as a ""performance trainer,"" the traction should be much more reliable on various surfaces.",durability,durability,Negative,Negative,poor traction and grip on damp surfaces,subpar grip causing slipping on damp surfaces,1,1,4
114,The color hasn't faded at all even after I got them completely covered in mud and had to give them a deep scrub with soap and water. They still look just as vibrant as the day I pulled them out of the box.,color,color,Positive,Positive,durable color that survives deep cleaning,color durability after washing,1,1,4
116,"The laces are way too short; if you use the extra eyelet for a runner's loop, there isn't enough lace left to actually tie a secure knot. It’s a small detail, but a very frustrating one for a shoe at this price level.",design,design,Negative,Negative,insufficient lace length for secure tying,laces are too short for secure knot,1,1,5
117,I've noticed a strange squeaking sound coming from the left heel every time I step on a hard surface like tile or hardwood. It’s incredibly embarrassing to walk through a quiet hallway at work sounding like a wet floor toy.,durability,durability,Negative,Negative,annoying squeaking noise from the heel area,squeaking sound from left heel,1,1,4
118,"The transition from heel to toe feels very smooth while running, which has really helped my cadence. You can tell a lot of engineering went into the geometry of the sole to help propel the runner forward effortlessly.",comfort,comfort,Positive,Positive,smooth heel-to-toe transition for runners,smooth transition and engineered sole geometry,1,1,2
119,"I ordered the ""Sunset Orange"" but the shoes I received are much closer to a bright, almost neon pink. It's a huge discrepancy from the product listing and I'll be returning them because they don't match any of my gear.",color,color,Negative,Negative,significant color discrepancy from product listing,color discrepancy from product listing,1,1,4
120,"The overall value is questionable because while they are comfortable, the materials feel very ""plasticky"" and cheap compared to other brands in the same price bracket. I don't feel like I'm wearing a premium product.",price/value,price/value,Negative,Negative,cheap material feel doesn't match premium price,materials feel plasticky and cheap,1,1,3
121,"These shoes are a bit of a mixed bag; the length is fine but they are so narrow that my feet feel like they are being squeezed in a vise. If you have even slightly wide feet, you should definitely avoid this specific model.",sizing,sizing,Negative,Negative,overly narrow width causing discomfort,shoes are too narrow,1,1,3
122,"I love the reflective accents on the design; as someone who often runs late at night, I feel much safer knowing that I’m more visible to cars. It’s a great safety feature that doesn't compromise the style of the shoe.",design,design,Positive,Positive,functional reflective accents for night safety,reflective accents enhance nighttime visibility,1,1,4
123,"The internal lining is incredibly soft, almost like a second skin, which means I can wear these without socks for quick trips to the store without worrying about any rubbing or skin irritation.",comfort,comfort,Positive,Positive,soft internal lining allows for sockless wear,incredibly soft internal lining preventing rubbing or irritation,1,1,3
124,Only two weeks in and the pull tab on the back of the shoe snapped off while I was putting them on. I wasn't even pulling that hard! Now I have a ragged piece of fabric hanging off the back of my expensive new sneakers.,durability,durability,Negative,Negative,fragile pull tab snapped under normal use,pull tab snapped off easily,1,1,3
125,I'm quite happy with the price I paid; getting a shoe with this level of carbon-fiber technology for under $200 is a great deal compared to what the competitors are charging for similar performance specs.,price/value,price/value,Positive,Positive,competitive pricing for carbon-fiber technology,affordable carbon-fiber technology under $200,1,1,3
127,"The size chart on the Nima website is completely wrong for this line. I measured my foot exactly as instructed, but the shoes were still a full size too small. This is going to cause a lot of unnecessary returns.",sizing,sizing,Negative,Negative,inaccurate online size chart leading to wrong fit,incorrect size chart,1,1,3
128,"I really appreciate the minimalist aesthetic; there aren't any huge, gaudy logos or bright, clashing colors. It’s a very sophisticated look that works for people who want to look stylish without being too ""loud.""",design,design,Positive,Positive,sophisticated and minimalist aesthetic,minimalist aesthetic without gaudy logos or bright colors,1,1,3
129,"After walking through some wet grass, the water soaked right through the mesh almost instantly. I know they aren't waterproof, but I expected at least a little bit of resistance for a shoe designed for the outdoors.",durability,durability,Negative,Negative,zero water resistance in the mesh upper,water soaks through mesh instantly,1,1,4
131,"I have wide feet and usually struggle with Nima, but this new wide-fit version is a game changer. There is plenty of room for my toes to splay out naturally, and I don't feel any of the usual pinching on the sides.",sizing,sizing,Positive,Positive,excellent wide-fit option with ample toe room,wide-fit version provides plenty of room,1,1,3
132,"The tongue of the shoe is very thin and has a tendency to slide down into the shoe or off to the side while I'm moving, which requires me to constantly stop and readjust my laces to fix it.",comfort,comfort,Negative,Negative,sliding thin tongue requires constant adjustment,thin tongue slides down,1,1,2
133,"For the high price, I was hoping for a more durable box and presentation. The shoes arrived in a crushed cardboard box with no extra laces or even a dust bag. It just didn't feel like a ""luxury"" unboxing experience.",price/value,price/value,Negative,Negative,poor packaging and lack of extras for the price,poor unboxing experience for the price,1,1,3
134,I've had these for six months and the sole hasn't worn down at all despite me wearing them almost every single day on asphalt. The durability of the outsole compound Nima used here is truly impressive.,durability,durability,Positive,Positive,long-lasting outsole durability on asphalt,durability of the outsole compound,1,1,2
136,"The weight of the shoe is so light it's almost hard to believe, which makes them perfect for long-distance travel when you're walking through airports for hours. My legs definitely felt less fatigued than usual.",comfort,comfort,Positive,Positive,ultra-lightweight design reduces leg fatigue,lightweight shoe reduces leg fatigue,1,1,4
137,"My main issue is the sizing consistency; I bought two different colors of the same shoe in size 11, and the black pair fits perfectly while the white pair is noticeably tighter and shorter. How does that even happen?",sizing,sizing,Negative,Negative,inconsistent sizing between different colorways,sizing inconsistency between pairs,1,1,2
138,I noticed that the fabric inside the heel began pilling and wearing a hole through after just three weeks of use. Now the plastic structural piece is rubbing against my heel and making the shoes unwearable.,durability,durability,Negative,Negative,interior heel lining pilling and wearing through,heel fabric pilling and hole causing plastic rubbing,1,1,3
140,"I think these are the best looking sneakers Nima has released in a decade. The retro-modern blend is executed perfectly, and they look great with both joggers and slim-fit denim.",design,design,Positive,Positive,perfect blend of retro and modern design,best looking retro-modern blend,1,1,4
141,"The price is definitely on the high side, but given that these are carbon-neutral and made in a fair-wage factory, I’m willing to pay the extra $40 to support ethical manufacturing processes.",price/value,price/value,Positive,Positive,premium price justified by ethical manufacturing,support ethical manufacturing processes,1,1,2
144,"I’ve taken these through mud, rain, and gravel over the last month and they still look brand new. The material used for the upper is incredibly resilient and doesn't seem to hold onto stains at all.",durability,durability,Positive,Positive,highly resilient and stain-resistant upper,"resilient, stain-resistant material",1,1,3
146,The cushioning is so soft that it actually feels a bit unstable for lateral movements. I tried wearing them for a HIIT class and felt like my ankles were going to roll because the foam compressed too much.,comfort,comfort,Negative,Negative,overly soft foam causes lateral instability,foam compresses too much causing instability for lateral movements,1,1,4
147,"I feel like the value is average; you're definitely paying for the Nima logo, but the shoe itself doesn't offer anything significantly better than a mid-range shoe from a smaller, less famous brand.",price/value,price/value,Neutral,Neutral,"average value with a ""brand name"" premium",overpriced for features offered,1,1,3
148,"The color is exactly what I wanted! It's a very specific shade of ""Sand"" that is hard to find, and it looks exactly like the digital swatch on the website. No surprises here, just a great looking shoe.",color,color,Positive,Positive,accurate color matching to digital swatch,Exact desired shoe color and accurate digital swatch,1,1,4
149,"Sizing is a nightmare with this release. I usually wear a 12, ordered a 12.5 just in case, and I still can barely squeeze my foot in. It feels like they are using a completely different sizing standard for this line.",sizing,sizing,Negative,Negative,significant undersizing compared to standard,different sizing standard,1,1,2
150,"The sole has a very aggressive tread pattern which is great for trail running, but the rubber compound is so soft that the lugs are already starting to round off after only two weeks of use on dirt paths.",durability,durability,Negative,Negative,soft rubber lugs wearing down prematurely,soft rubber compound causes lugs to wear quickly,1,1,4
151,"I’ve worn Nima for years and always trust my size 9, but these were so tight they actually made my toes go numb after just twenty minutes of walking around the house. It's frustrating because the length seems right, but the midfoot is incredibly restrictive.",sizing,sizing,Negative,Negative,restrictive midfoot and sizing inconsistency,midfoot is incredibly restrictive causing numb toes,1,1,2
152,The cushioning is honestly the best I’ve ever felt in a sneaker; it’s bouncy without feeling unstable. I did a five-mile run on asphalt and my knees didn't feel any of the usual impact stress.,comfort,comfort,Positive,Positive,superior impact absorption and bounce,best cushioning with impact protection,1,1,3
153,"I am returning these today because the sole started peeling away from the toe box after just two days of casual wear. I haven't even taken them to the gym yet, so seeing them fall apart this fast is a huge red flag for the brand's quality control.",durability,durability,Negative,Negative,premature sole delamination during casual use,sole peeling after two days of wear,1,1,4
154,"The ""Sunset Red"" color looks much more like a neon pink in person. It’s a very loud color that doesn't match the sophisticated, deep red shown in the online professional photography.",color,color,Negative,Negative,color saturation mismatch from online photos,color looks neon pink instead of deep red,1,1,2
155,These are some of the sharpest-looking shoes I've ever owned. The way the mesh overlays the reflective material is subtle but really pops under streetlights at night. Very stylish for both running and hanging out.,design,design,Positive,Positive,attractive mesh and reflective design,stylish mesh with reflective material,1,1,4
156,"For nearly $180, I expected the laces to be higher quality than these thin, flimsy strings that feel like they’re going to snap every time I try to get a secure lockdown. The value just isn't there for the price tag.",price/value,price/value,Negative,Negative,low-quality components relative to high price,"low quality thin, flimsy laces",1,1,2
157,"I followed the ""True Fit"" guide on the website which suggested a size 11, but I have a full thumb's width of extra space behind my heel. I’m constantly sliding around inside the shoe, which is a recipe for blisters.",sizing,sizing,Negative,Negative,inaccurate sizing guide leading to oversized fit,extra space behind heel causing sliding,1,1,2
158,The inner lining is remarkably soft and doesn't have any intrusive seams. I’ve been wearing them without socks for short errands and haven't experienced any rubbing or hotspots on my skin.,comfort,comfort,Positive,Positive,seamless and soft inner lining,soft inner lining without seams,1,1,5
159,"After only three weeks, the tread on the bottom is already showing significant wear. I mostly walk on suburban sidewalks, so the rubber compound used here must be way too soft for daily use.",durability,durability,Negative,Negative,rapid tread wear on standard surfaces,rubber compound too soft causing tread wear,1,1,2
161,"At this price point, you really can't beat the performance. They feel just as responsive as my $200 elite runners but at a fraction of the cost. A great choice for budget-conscious athletes.",price/value,price/value,Positive,Positive,high performance-to-price ratio,performance matches expensive runners at lower cost,1,1,5
163,"I had to return my first pair because the left shoe felt smaller than the right. I ordered a replacement, and the second pair had the exact same issue. There’s clearly something wrong with the manufacturing of this specific model.",sizing,sizing,Negative,Negative,asymmetrical sizing and manufacturing defects,left shoe felt smaller due to manufacturing defect,1,1,3
164,These are a total game-changer for my plantar fasciitis. The arch support is positioned perfectly and provides just enough rigidity to keep my foot stable without feeling like I'm stepping on a rock.,comfort,comfort,Positive,Positive,effective arch support for foot pain,perfect arch support for plantar fasciitis,1,1,3
165,The eyelets for the laces are made of a very thin plastic that actually snapped while I was tightening them. Now the shoe is useless because I can't tie it securely. Absolute garbage build quality.,durability,durability,Negative,Negative,fragile eyelets snapping under tension,thin plastic eyelets snapped while tightening,1,1,4
166,I love the oversized pull-tab on the heel; it makes getting these on and off so much easier when I’m in a rush at the gym. It’s a small design detail that makes a big functional difference.,design,design,Positive,Positive,functional and convenient heel pull-tab,oversized pull-tab for easy on and off,1,1,3
167,"I’m really disappointed with the ""Electric Yellow."" On my screen, it looked like a warm gold, but in person, it’s a greenish-yellow that looks quite sickly. It's going back to the warehouse immediately.",color,color,Negative,Negative,unpleasant color hue discrepancy,color looked different in person,1,1,2
168,"Even though they are expensive, the fact that Nima offers a 12-month warranty on the sole makes me feel much better about the investment. You pay for the peace of mind.",price/value,price/value,Positive,Positive,warranty adds significant consumer value,12-month warranty on the sole,1,1,2
169,"The width is perfect, but the height of the toe box is too low. It constantly presses down on my big toe, which becomes quite painful after about an hour of wear. I don't think sizing up would even fix this.",sizing,sizing,Negative,Negative,low-profile toe box causing top-of-foot pressure,too low toe box height causing discomfort,1,1,3
170,"I noticed some significant fraying around the ankle collar after only a month of use. I always use a shoehorn, so it's not from me forcing my foot in—the fabric is just poor quality.",durability,durability,Negative,Negative,premature fabric fraying at the collar,poor fabric quality causing fraying,1,1,2
171,"These shoes are so light I literally forgot I was wearing them. For a long-distance walker like me, reducing that extra weight is essential to prevent leg fatigue toward the end of the day.",comfort,comfort,Positive,Positive,lightweight construction prevents fatigue,lightweight reducing leg fatigue,1,1,3
172,"The heel is way too chunky and makes the shoe feel back-heavy. When I try to run, it feels like I'm dragging a weight behind me rather than having a natural stride.",design,design,Negative,Negative,poorly balanced and heavy heel design,heel is too chunky and makes shoe back-heavy,1,1,4
173,"The ""Midnight Blue"" is stunning; it has a subtle iridescent sheen that only shows up in direct sunlight. It’s much more premium-looking than I expected for the price.",color,color,Positive,Positive,premium iridescent color effect,premium-looking with iridescent sheen,1,1,5
174,"I'm returning these because the sizing is just too unpredictable. I ordered a 10, a 10.5, and an 11, and none of them felt ""right."" The 10.5 was shorter than the 10! I’m done with this brand until they fix their factory.",sizing,sizing,Negative,Negative,high variance and inconsistency in sizing,unpredictable sizing,1,1,4
177,"The breathability of the knit upper is fantastic. My feet usually sweat a lot in synthetic sneakers, but these stay cool and dry even during high-intensity interval training.",comfort,comfort,Positive,Positive,excellent ventilation and moisture control,breathable knit upper keeps feet cool and dry,1,1,4
178,"The aesthetics are a bit too ""dad shoe"" for me. I thought they would look more modern based on the website, but in person, they are very clunky and the proportions are just off.",design,design,Negative,Negative,"unattractive clunky ""dad shoe"" aesthetic",clunky aesthetics and off proportions,1,1,3
179,I’ve had these for six months and they still look and feel like they did on day one. Whatever rubber compound they used for the sole is incredibly resilient to concrete surfaces.,durability,durability,Positive,Positive,excellent long-term outsole resilience,resilient rubber sole,1,1,3
180,"I ordered the grey, but it has a very distinct purple undertone that wasn't visible in the product photos. It clashes with almost everything I own, so I'll be swapping them for the black version.",color,color,Negative,Negative,unexpected color undertones,color has purple undertone not shown in photos,1,1,3
182,"Considering the high-quality leather and the hand-stitched details, these are an absolute steal. You'd usually pay double this for this kind of craftsmanship from a boutique brand.",price/value,price/value,Positive,Positive,high craftsmanship for a reasonable price,high-quality leather and hand-stitched details,1,1,2
184,"The minimalist look is exactly what I was searching for. No huge logos or neon colors—just a clean, simple silhouette that goes with anything from jeans to dress slacks.",design,design,Positive,Positive,clean and versatile minimalist design,"minimalist look with clean, simple silhouette",1,1,3
185,"The stitching on the toe cap started unraveling after my first rainy walk. It seems like the thread they used isn't meant to get wet, which is ridiculous for an outdoor sneaker.",durability,durability,Negative,Negative,stitching failure when exposed to moisture,stitching unraveled after wet exposure,1,1,4
186,"I love that these come in a true ""Extra Wide"" option. Usually, ""wide"" shoes are still too narrow for me, but Nima actually built a wider base for this model, and it fits perfectly.",sizing,sizing,Positive,Positive,true extra-wide sizing availability,true extra wide option with wider base,1,1,4
187,"The ""Neon Green"" is actually a very dull, pea-green color. It lacks the vibrancy shown in the ads and looks very cheap and dated in person.",color,color,Negative,Negative,dull and unattractive color saturation,color lacks vibrancy,1,1,4
189,These shoes have zero break-in period. I took them straight from the box to a 10-hour shift on my feet and didn't have a single ache or blister. Truly impressive comfort.,comfort,comfort,Positive,Positive,immediate comfort with no break-in required,zero break-in period and impressive comfort,1,1,5
190,"The laces are constantly coming undone because the material is too slick. I have to double-knot them just to go for a short walk, which is a minor but persistent annoyance.",design,design,Negative,Negative,slick lace material prevents secure knots,laces constantly coming undone due to slick material,1,1,5
191,"The internal heel counter is collapsing already, which makes the shoe feel like it's sliding off my foot. It seems like the plastic used for support is too thin and weak.",durability,durability,Negative,Negative,structural failure of the heel counter,collapsing internal heel counter,1,1,4
193,"The color is a perfect match for the team jerseys I bought them for. It’s a very difficult shade of teal to get right, but Nima nailed the accuracy this time.",color,color,Positive,Positive,excellent color accuracy for specific shades,accurate teal color match,1,1,3
194,"For a basic gym shoe, $140 is a lot of money. They're fine, but they don't do anything better than the $80 pair I replaced. You’re definitely paying for the marketing here.",price/value,price/value,Negative,Negative,poor value compared to lower-priced alternatives,Not worth the high price compared to cheaper alternatives,1,1,5
195,The design of the tongue is weirdly long and it pokes into the front of my ankle every time I take a step. I’ve had to fold it down just to stop the irritation.,design,design,Negative,Negative,poorly designed tongue causes ankle irritation,weirdly long tongue causing ankle irritation,1,1,4
196,"The grip on these is insane. I've used them on wet grass and slippery gym floors and haven't felt a single slip. The rubber is very ""tacky"" and inspires a lot of confidence.",durability,durability,Positive,Positive,high-traction rubber compound for safety,insane grip and tacky rubber,1,1,3
197,"I’m a big fan of the soft-touch foam. It feels premium and doesn't have that ""chemical"" smell that a lot of new sneakers have when you first open the box.",comfort,comfort,Positive,Positive,high-quality materials with no off-gassing smell,soft-touch foam feels premium and lacks chemical smell,1,1,4
198,"The size 13 feels more like a 12. My toes are pressed right up against the front, and there’s no way I could wear these for more than five minutes without pain. I'm returning them for a refund.",sizing,sizing,Negative,Negative,significant undersizing in larger sizes,"size 13 fits like size 12, causing toe pain",1,1,5
199,The mesh is starting to pull away from the midsole after just a week. It looks like the glue didn't bond properly to the fabric during the manufacturing process.,durability,durability,Negative,Negative,bonding failure between mesh and midsole,poor glue bonding to fabric,1,1,2
200,"I love the subtle geometric pattern on the side of the shoe. It adds a bit of visual interest without being distracting or making the shoe look too ""busy.""",design,design,Positive,Positive,subtle and sophisticated pattern design,subtle geometric pattern adds visual interest,1,1,3
201,"The color is exactly as pictured, which is rare these days. A nice, deep navy that looks professional and doesn't show scuffs easily.",color,color,Positive,Positive,accurate color representation and scuff hiding,color matches picture and looks professional,1,1,3
203,These are surprisingly durable for how thin the material feels. I’ve caught them on several sharp rocks while hiking and the fabric didn't rip or tear at all.,durability,durability,Positive,Positive,high-strength material despite being thin,durable fabric resistant to tears and rips,1,1,3
204,"The design is very futuristic and I get a lot of questions about them at the airport. If you like being noticed, these are the shoes for you.",design,design,Positive,Positive,bold and attention-grabbing futuristic design,futuristic design attracts attention,1,1,4
205,"At $90, these are the best value on the market right now. You get a solid, dependable trainer that can handle a variety of workouts without breaking the bank.",price/value,price/value,Positive,Positive,excellent budget-friendly gym trainer,"best value at $90, solid and dependable trainer",1,1,4
206,"The foam in the forefoot is too thin. I can feel every pebble I step on, which makes walking on gravel quite painful. It needs a thicker stack height in the front.",comfort,comfort,Negative,Negative,insufficient forefoot cushioning,thin forefoot foam causing discomfort on gravel,1,1,4
207,"I ordered the 4E wide and it’s still too narrow. Nima's ""wide"" fits like a standard ""medium"" in any other brand. Very misleading labeling.",sizing,sizing,Negative,Negative,inaccurate wide-width labeling,wide size fits narrow,1,1,1
208,"I love the ""All-Black"" look; even the logos and the midsole are blacked out. It’s perfect for my job where I have to wear black shoes but want to stay comfortable.",color,color,Positive,Positive,"high-quality ""triple black"" aesthetic",all-black look for work with comfort,1,1,2
209,The sole is already starting to crumble into little black pieces after a week of indoor gym use. This shouldn't happen with a brand-new shoe; the rubber must be defective.,durability,durability,Negative,Negative,rubber sole material is disintegrating/crumbling,defective rubber sole,1,1,3
210,"The design is way too narrow in the heel, which makes me feel like I’m going to roll my ankle every time I turn a corner. It lacks a stable base.",design,design,Negative,Negative,narrow heel base causes stability issues,heel too narrow causing instability,1,1,5
212,"The inner heel fabric wore through in less than two weeks, exposing the hard plastic underneath. This is a common failure point in cheap shoes, but I expected better from Nima.",durability,durability,Negative,Negative,rapid wear-through of internal heel fabric,inner heel fabric wore through quickly,1,1,5
214,"The sizing is perfect for me. I have a narrow foot and it’s usually hard to find something that doesn't feel sloppy, but these provide a great ""locked-in"" feel.",sizing,sizing,Positive,Positive,excellent fit for narrow-footed customers,perfect sizing for narrow foot,1,1,5
215,"The ""Burnt Orange"" turned out to be more of a ""Safety Cone Orange."" It’s much more fluorescent than the earthy tone shown on the website.",color,color,Negative,Negative,neon color mismatch vs. earthy website photos,color more fluorescent than shown on website,1,1,4
216,"After just one run, the laces started fraying where they rub against the eyelets. It looks like the eyelets have sharp edges that are cutting into the laces.",durability,durability,Negative,Negative,sharp eyelets causing lace damage,sharp eyelets causing lace fraying,1,1,4
217,The design is very ergonomic; you can tell they studied the natural shape of the foot when they designed the upper. It flexes exactly where it should.,design,design,Positive,Positive,ergonomic design with natural flex points,ergonomic design with natural foot shape and correct flex,1,1,4
219,"The tongue is padded just enough to prevent lace bite without being too bulky. It’s a very fine balance that most brands get wrong, but Nima nailed it.",comfort,comfort,Positive,Positive,perfect tongue padding prevents lace bite,perfectly padded tongue preventing lace bite without bulk,1,1,4
220,The sizing is so small I had to go up a full size and a half just to get my foot in. I’ve never had to do that with any other brand in my life.,sizing,sizing,Negative,Negative,extreme undersizing requires multiple size jumps,sizing is very small,1,1,2
222,"I love the semi-transparent sole; it’s a cool design touch that you don't see very often. It gives the shoe a very modern, ""techy"" look.",design,design,Positive,Positive,unique semi-transparent sole design,"semi-transparent, modern sole design",1,1,3
223,"The color hasn't faded even after several washes in the machine. I usually air-dry them, and they still look as black as the day I bought them.",color,color,Positive,Positive,colorfast material stays dark after washing,color retention after washes,1,1,3
