id,Original_Text,Original_Aspect,Predicted_Aspect,Categorization
113,"For $150, I expected the insoles to have at least some arch support, but they are completely flat and feel like a cheap piece of cardboard. I had to spend another $30 on third-party inserts just to make them wearable for my flat feet.",price/value,comfort,0
115,"These fit perfectly right out of the box with zero break-in period required. Usually, I have to wear new shoes around the house for a few days, but with these Nimas, I went straight for a 5k run and had no issues whatsoever with the fit or feel.",sizing,comfort,0
142,"These sneakers are surprisingly loud on certain surfaces. Every time I walk on the polished concrete floors at my gym, it sounds like I'm wearing suction cups on my feet. It's very distracting during a workout.",comfort,design,0
143,"The toe box is extremely pointed, which looks sharp, but it pinches my toes together in a way that becomes quite painful after about thirty minutes. Not recommended for anyone with a wider forefoot.",sizing,comfort,0
176,"After a single wash on a gentle cycle, the internal foam in the tongue bunched up and won't go back to its original shape. It now feels lumpy and uncomfortable against the top of my foot.",durability,comfort,0
181,"The fit is very snug, which is great for athletic movements, but there's a hard plastic piece in the arch that digs into my foot. It’s a shame because everything else about the sizing is spot on.",sizing,comfort,0
183,"The padding in the heel is already going flat after only 50 miles of running. I expected the foam to be much more durable and maintain its ""squish"" for at least a few hundred miles.",comfort,durability,0
202,"I feel like the arch is in the wrong place for my foot. It sits too far back toward the heel, which makes it feel like there's a lump in my shoe all day. Returning for a different brand.",sizing,comfort,0
211,These are worth every cent for the comfort alone. I suffer from chronic back pain and these are the only shoes that allow me to walk for more than an hour without discomfort.,price/value,comfort,0
213,"I had to return these because they are just too loud. They make a ""clicking"" sound on hard floors that is extremely annoying in a quiet office setting.",comfort,design,0
221,"The glue marks around the midsole are very obvious and look messy. For a premium shoe, I expected a much cleaner finish than this.",durability,design,0
242,"At $200, these should be perfect, but they have several small flaws that make them feel like a prototype rather than a finished product.",price/value,design,0
248,These are a great value for someone who just needs a comfortable shoe for walking the dog or doing errands. They don't need to be fancy.,price/value,comfort,0
249,"The heel is too soft and collapses when I try to run, which makes the shoe feel very unstable and has caused some minor ankle strain.",comfort,durability,0
